Date,GLD,USO,SLV,SPX,EUR_USD
12-03-2013,1221.699951,96.04000092,19.01099968,1795.150024,1.354206204
12-04-2013,1248.199951,97.19999695,19.77400017,1792.810059,1.359064937
12-05-2013,1233.199951,97.37999725,19.51399994,1785.030029,1.358640313
12-06-2013,1230.300049,97.65000153,19.46500015,1805.089966,1.366997957
12-09-2013,1235.300049,97.33999634,19.6439991,1808.369995,1.370651603
12-10-2013,1262.400024,98.51000214,20.25600052,1802.619995,1.374022722
12-11-2013,1258.5,97.44000244,20.29800034,1782.219971,1.376443624
12-12-2013,1226,97.5,19.40200043,1775.5,1.378606796
01-02-2014,1225,95.44000244,20.09799957,1831.97998,1.376670957
01-03-2014,1238.400024,93.95999908,20.18199921,1831.369995,1.366661668
01-06-2014,1237.800049,93.43000031,20.07699966,1826.77002,1.359600782
01-07-2014,1229.400024,93.66999817,19.76499939,1837.880005,1.363196492
01-08-2014,1225.300049,92.33000183,19.51799965,1837.48999,1.361637235
01-09-2014,1229.300049,91.66000366,19.66300011,1838.130005,1.357201934
01-10-2014,1246.699951,92.72000122,20.20100021,1842.369995,1.360710859
02-03-2014,1260.400024,96.43000031,19.38899994,1741.890015,1.348817825
02-04-2014,1251.699951,97.19000244,19.40200043,1755.199951,1.352502823
02-05-2014,1257.300049,97.37999725,19.78499985,1751.640015,1.351588726
02-06-2014,1257.599976,97.83999634,19.90800095,1773.430054,1.353509665
02-07-2014,1263.300049,99.87999725,19.92000008,1797.02002,1.359212756
02-10-2014,1274.800049,100.0599976,20.09900093,1799.839966,1.361933947
02-11-2014,1290.099976,99.94000244,20.14299965,1819.75,1.364610195
02-12-2014,1295.300049,100.3700027,20.33099937,1819.26001,1.363902926
03-03-2014,1350.099976,104.9199982,21.44799995,1845.72998,1.377695084
03-04-2014,1337.800049,103.3300018,21.18799973,1873.910034,1.373701811
03-05-2014,1340.199951,101.4499969,21.23900032,1873.810059,1.374117136
03-06-2014,1351.699951,101.5599976,21.54199982,1877.030029,1.373418808
03-07-2014,1338.099976,102.5800018,20.89699936,1878.040039,1.386308789
03-10-2014,1341.400024,101.1200027,20.87899971,1877.170044,1.387867332
03-11-2014,1346.5,100.0299988,20.7840004,1867.630005,1.387886524
03-12-2014,1370.300049,97.98999786,21.32799911,1868.199951,1.385809302
04-01-2014,1279.599976,99.73999786,19.66900063,1885.52002,1.377505302
04-02-2014,1290.5,99.62000275,20.03100014,1890.900024,1.379481554
04-03-2014,1284.400024,100.2900009,19.7859993,1888.77002,1.376822591
04-04-2014,1303.199951,101.1399994,19.92700005,1865.089966,1.372382164
04-07-2014,1298,100.4400024,19.89100075,1845.040039,1.370407462
04-08-2014,1308.699951,102.5599976,20.04199982,1851.959961,1.374306083
04-09-2014,1305.5,103.5999985,19.75499916,1872.180054,1.379329324
